=== SHOT LIST: 7-ELEVEN THAILAND ===
Audio Duration: 7:50 (470s) | 9 chunks | edge-tts -15% rate
Style: Kurzgesagt-inspired flat vector, mascot character
Target: 136 shots, ~3.5 sec average per shot (fast cut)

==================================================
TIMECODE MAP
==================================================

| Time | Filename | Text Segment | Scene Type | Shot Description |
|------|----------|-------------|------------|-----------------|
| 0:00.00 | 00_00_00.png | ปีที่แล้ว บริษัทหนึ่งในประเทศไทย ทำรายได้ทะลุหนึ่งล้านล้านบาท | hero | Giant golden "1 ล้านล้าน" number glowing on dark navy, Nong K character looking up in awe, Kurzgesagt style, dramatic reveal |
| 0:03.46 | 00_00_03.png | ตัวเลขที่ใหญ่จนเกือบไม่มีความหมาย | data | Abstract large numbers floating and dissolving, golden particles on dark navy, Kurzgesagt style, scale visualization |
| 0:06.92 | 00_00_06.png | แต่บริษัทที่ว่า คือร้านสะดวกซื้อที่คุณเดินเข้าไปซื้อน้ำแทบทุกวัน | character | Nong K walking into a glowing 7-Eleven store, warm orange light spilling out, dark navy street, Kurzgesagt style, medium shot |
| 0:10.38 | 00_00_10.png | ร้านเล็กๆ ที่มีอยู่ทุกมุมถนน ทำเงินได้มากกว่าทุกบริษัทในประเทศ | infographic | Aerial view of city with 7-Eleven stores as glowing dots on every corner, Nong K tiny in center, Kurzgesagt style, wide shot |
| 0:13.84 | 00_00_13.png | มากกว่าธนาคาร มากกว่าโรงกลั่นน้ำมัน มากกว่าบริษัทเทคโนโลยีทุกแห่ง | comparison | Split comparison: 7-Eleven icon larger than bank, oil refinery, tech company icons, Kurzgesagt style, size hierarchy |
| 0:17.29 | 00_00_17.png | วันนี้เราจะมาวิเคราะห์กันว่า เซเว่นอีเลฟเว่น ครองประเทศไทยได้ยังไง | character | Nong K with magnifying glass examining 7-Eleven logo, analytical pose, dark navy background, Kurzgesagt style, medium shot |
| 0:20.75 | 00_00_20.png | แล้วคุณจะรู้ว่าเบื้องหลังร้านสะดวกซื้อธรรมดาๆ นี้ คือแผนธุรกิจที่ซับซ้อนที่สุด | framework | Complex interconnected gears and systems diagram behind 7-Eleven facade, blueprint style, Kurzgesagt style, revealing depth |
| 0:24.21 | 00_00_24.png | ...pause... | transition | Abstract transition: golden particles forming pattern, dark navy, Kurzgesagt style, 1 sec |
| 0:27.67 | 00_00_27.png | ทั่วประเทศไทย มีเซเว่นอีเลฟเว่น 15,945 สาขา | data | Thailand map with "15,945" in giant golden text, store dots scattered across map, Kurzgesagt style, wide shot |
| 0:31.13 | 00_00_31.png | มากกว่าญี่ปุ่นด้วยซ้ำ ถ้าเทียบกับจำนวนประชากร | comparison | Side-by-side: Thailand flag with 22 dots vs Japan flag with 17.5 dots, per-capita comparison, Kurzgesagt style |
| 0:34.59 | 00_00_34.png | ไทยมีเซเว่นประมาณ 22 สาขาต่อประชากรหนึ่งแสนคน ญี่ปุ่นมีแค่ 17.5 | data | Bar chart: Thailand bar taller than Japan bar, golden yellow bars on dark navy, Kurzgesagt style, clean infographic |
| 0:38.05 | 00_00_38.png | ทุกวัน มีคนเข้าเซเว่นมากกว่าสิบเอ็ดล้านคน | data | "11 ล้าน" in giant golden text with crowd of tiny flat vector people flowing into 7-Eleven icons, Kurzgesagt style |
| 0:41.51 | 00_00_41.png | เกือบหนึ่งในหกของคนไทย เข้าเซเว่นทุกวัน | data | Pie chart showing 1/6 highlighted in golden, remaining 5/6 in dark teal, Kurzgesagt style, simple infographic |
| 0:44.96 | 00_00_44.png | ถ้าคุณอยู่กรุงเทพฯ คุณแทบจะเจอเซเว่นทุกหัวถนน | map | Bangkok street map with 7-Eleven icons on every intersection, glowing density, Kurzgesagt style, aerial view |
| 0:48.42 | 00_00_48.png | บางแยกมีสองสาขา อยู่ตรงข้ามกัน | map | Close-up of intersection with two 7-Eleven stores facing each other, Nong K confused in middle, Kurzgesagt style, humorous |
| 0:51.88 | 00_00_51.png | และทุกสาขา เปิดยี่สิบสี่ชั่วโมง | data | Clock showing 24 hours with 7-Eleven glowing through all hours, night-to-day cycle, Kurzgesagt style |
| 0:55.34 | 00_00_55.png | ไม่ว่าจะตีสาม ตีสี่ คุณก็เข้าเซเว่นได้ | character | Nong K at 3AM entering brightly lit 7-Eleven, dark street outside, warm light inside, Kurzgesagt style, cozy mood |
| 0:58.80 | 00_00_58.png | ในต่างจังหวัด ถ้าเมืองไหนมีเซเว่น เมืองนั้นถือว่าโตแล้ว | map | Rural Thailand map with single glowing 7-Eleven dot, small town celebration, Kurzgesagt style, wide shot |
| 1:02.26 | 00_01_02.png | คนในพื้นที่มองว่าเซเว่นคือสัญลักษณ์ของความทันสมัย | character | Nong K as small-town resident looking at 7-Eleven with sparkly eyes, pride expression, Kurzgesagt style |
| 1:05.72 | 00_01_05.png | และสาขาแรก แทบจะล้มเหลว | crisis | Cracked/falling 7-Eleven store icon, red warning tones, downward arrow, Kurzgesagt style, dramatic |
| 1:09.18 | 00_01_09.png | Revenue ของ CP All... หนึ่งล้านสองหมื่นสองพันล้านบาท | data | Revenue chart climbing to 1.02 trillion, golden glow at peak, Kurzgesagt style, triumphant |
| 1:12.64 | 00_01_12.png | กำไรสุทธิ เกือบสามหมื่นล้านบาท | data | Profit bar "28.2 พันล้าน" in golden, upward trend, Kurzgesagt style, clean infographic |
| 1:16.09 | 00_01_16.png | ตัวเลขเหล่านี้ ใหญ่กว่า PTT ใหญ่กว่าธนาคารไทยพาณิชย์ | comparison | Size comparison: 7-Eleven icon larger than PTT, SCB, and tech icons, Kurzgesagt style, hierarchy |
| 1:19.55 | 00_01_19.png | ...pause... | transition | Golden particles reassemble, dark navy, Kurzgesagt style, 1 sec |
| 1:23.01 | 00_01_23.png | ปี 1989 สาขาแรกเปิดบนถนนพัฒน์พงศ์ | timeline | Patpong Road Bangkok 1989, first 7-Eleven store, vintage feel, Kurzgesagt flat vector style, historical |
| 1:26.47 | 00_01_26.png | พื้นที่ที่เต็มไปด้วยนักท่องเที่ยว | map | Patpong area map with tourist icons, neon signs, busy street, Kurzgesagt style, vibrant |
| 1:29.93 | 00_01_29.png | คนไทยไม่เข้าใจว่าร้านสะดวกซื้อคืออะไร | character | Nong K confused, question marks floating, Thai people looking puzzled at 7-Eleven, Kurzgesagt style |
| 1:33.39 | 00_01_33.png | ทำไมต้องเข้าไปซื้อของแพงกว่าร้านชำข้างบ้าน? | comparison | Split: expensive 7-Eleven items vs cheap mom-and-pop shop, price tags, Kurzgesagt style |
| 1:36.85 | 00_01_36.png | ร้านชำข้างบ้าน คุยกันได้ จดบัญชีได้ ไม่ต้องมีแอร์ | character | Warm scene of traditional Thai shop, grandma selling, neighbor chatting, Kurzgesagt style, nostalgic |
| 1:40.31 | 00_01_40.png | สาขาแรกขาดทุน | crisis | Downward red arrow, empty 7-Eleven store, red loss numbers, Kurzgesagt style, somber |
| 1:43.76 | 00_01_43.png | แต่คนที่นำเซเว่นเข้ามา ไม่ใช่บริษัทค้าปลีก | hero | Mystery reveal: shadowy CP Group logo emerging, question mark, Kurzgesagt style, dramatic |
| 1:47.22 | 00_01_47.png | เป็นร้านขายเมล็ดพันธุ์เล็กๆ ที่เริ่มในยุค 1920s | timeline | Small seed shop icon, 1920s vintage style, two brothers silhouette, Kurzgesagt flat vector, sepia tones |
| 1:50.68 | 00_01_50.png | พี่น้องชาวจีนสองคนอพยพจากกวางตุ้ง มาเปิดร้านขายเมล็ดพันธุ์ในกรุงเทพฯ | character | Two simple flat vector characters (brothers) arriving in Bangkok with seed bags, Kurzgesagt style, journey |
| 1:54.14 | 00_01_54.png | ร้านนั้นคือจุดเริ่มต้นของเครือเจริญโภคภัณฑ์ หรือซีพี | hero | Small seed shop growing into giant CP Group logo/tree, organic growth metaphor, Kurzgesagt style |
| 1:57.60 | 00_01_57.png | สองพี่น้องเริ่มจากศูนย์ ไม่มีเงินทุน ไม่มีเส้นสาย | data | "0" in golden, empty hands, humble beginning, dark navy, Kurzgesagt style, minimalist |
| 2:01.06 | 00_02_01.png | แค่ขายเมล็ดพันธุ์ให้เกษตรกรไทย | character | Brothers selling seeds to Thai farmers, rural scene, warm golden tones, Kurzgesagt style |
| 2:04.52 | 00_02_04.png | แต่พวกเขามีวิสัยทัศน์ เห็นว่าเมล็ดพันธุ์คือจุดเริ่มต้นของห่วงโซ่อาหารทั้งหมด | framework | Vision bubble showing food chain: seed → feed → farm → factory, connected dots, Kurzgesagt style |
| 2:07.98 | 00_02_07.png | จากเมล็ดพันธุ์ สู่อาหารสัตว์ สู่ฟาร์ม สู่โรงงาน | timeline | Horizontal chain: seed icon → feed bag → chicken → factory, golden connecting line, Kurzgesagt style |
