=== SHOT LIST: WHY BIGC LOST TO 7-ELEVEN ===
Audio Duration: ~8 min (estimated) | 11 chunks | edge-tts -15% rate
Style: Kurzgesagt-inspired flat vector, mascot character
Target: ~140 shots, ~3.5 sec average per shot (fast cut)

==================================================
TIMECODE MAP
==================================================

| Time | Filename | Text Segment | Scene Type | Shot Description |
|------|----------|-------------|------------|-----------------|
| 0:00.00 | 00_00_00.png | คุณเคยสังเกตไหม... ว่าห้างบิ๊กซีที่เคยแน่นขนัด | hero | Nong K standing in front of a dimly lit, quiet Big C store, melancholic atmosphere, Kurzgesagt style, dramatic |
| 0:03.00 | 00_00_03.png | เมื่อก่อนคุณต้องขับรถไปห้างสัปดาห์ละครั้ง | comparison | Split screen: past (family driving to bright Big C) vs present (Nong K walking to 7-Eleven), Kurzgesagt style |
| 0:06.00 | 00_00_06.png | แต่ตอนนี้คุณแค่เดินห้านาทีไปเซเว่น | character | Nong K casually walking to glowing 7-Eleven, relaxed expression, warm light, Kurzgesagt style |
| 0:09.00 | 00_00_09.png | อะไรทำให้ยักษ์ใหญ่ค้าปลีกอย่างบิ๊กซีต้องเสียพื้นที่ | hero | Giant Big C icon shrinking while 7-Eleven icon grows, dramatic size change, Kurzgesagt style |
| 0:12.00 | 00_00_12.png | คำตอบอยู่ที่โมเดลธุรกิจที่บิ๊กซีไม่เคยเข้าใจ | framework | Blueprint/diagram of business model with question marks, puzzle pieces, Kurzgesagt style |
| 0:15.00 | 00_00_15.png | ย้อนกลับไปปี 1994 บิ๊กซีสาขาแรกเปิดบนถนนแจ้งวัฒนะ | timeline | 1994 marker, first Big C store on Chaengwattana Road, vintage Bangkok, Kurzgesagt style |
| 0:18.00 | 00_00_18.png | ตอนนั้นกลุ่ม Central มองว่าคนไทยต้องการห้างสรรพสินค้าขนาดใหญ่ | character | Central Group executives pointing at Big C blueprint, optimistic, golden glow, Kurzgesagt style |
| 0:21.00 | 00_00_21.png | โมเดลชัดเจนมาก... เปิดห้างใหญ่ จอดรถสะดวก คนก็มา | framework | Big store icon + parking icon + people flowing in, simple formula, Kurzgesagt infographic style |
| 0:24.00 | 00_00_24.png | และมันก็ได้ผลจริงๆ คนไทยแห่กันไปห้าง ทุกสุดสัปดาห์แน่นขนัด | data | Crowded Big C store, happy shoppers, full parking lot, Kurzgesagt style, vibrant |
| 0:27.00 | 00_00_27.png | ชื่อ "บิ๊กซี" มาจาก "Big Central" คือห้างใหญ่ของกลุ่มเซ็นทรัล | hero | Logo reveal: "Big Central" transforming into "Big C" with Central Group branding, Kurzgesagt style |
| 0:30.00 | 00_00_30.png | ตอนนั้นทุกคนเชื่อว่าโมเดลห้างสรรพสินค้าจะครองโลกค้าปลีก | comparison | World map with hypermarket icons spreading globally, confident arrows, Kurzgesagt style |
| 0:33.00 | 00_00_33.png | แต่ใครจะรู้ว่าแค่ 30 ปีต่อมา โมเดลนี้จะกลายเป็นโมเดลที่กำลังจะตาย | crisis | Hypermarket icons cracking/fading, red warning tones, downward arrows, Kurzgesagt style |
| 0:36.00 | 00_00_36.png | ปี 1999 เกิดวิกฤตเศรษฐกิจในเอเชีย หุ้นบิ๊กซีร่วงหนัก | crisis | 1999 marker, stock chart crashing down, red flames, Asian financial crisis, Kurzgesagt style |
